# строка, id поста, дата поста, тег, число комментов
line_id,post_id,date,tag,comment_count

1,618,2011-01-30T18:48:00+03:00,неведомая еба*ина,24
2,1682,2011-01-31T16:02:00+03:00,лобовуха,2
3,1682,2011-01-31T16:02:00+03:00,хрусты,2
4,2300,2011-02-01T15:06:00+03:00,синька и норкоманы,1
5,2300,2011-02-01T15:06:00+03:00,тп,1
6,2680,2011-02-01T15:52:00+03:00,чотке потсоны,9
7,3070,2011-02-01T23:08:00+03:00,кетай как всегда пиз**ц,4
8,3258,2011-02-02T13:09:00+03:00,вышел за пиз*юлями,7
9,3258,2011-02-02T13:09:00+03:00,чотке потсоны,7
10,3780,2011-02-03T18:28:00+03:00,чотке потсоны,5
11,3780,2011-02-03T18:28:00+03:00,это он зачем так сделал?,5
12,4601,2011-02-07T16:21:00+03:00,кетай как всегда пиз**ц,2
13,4861,2011-02-09T17:22:00+03:00,господа полицейские,7
14,4861,2011-02-09T17:22:00+03:00,погони,7
15,5380,2011-02-16T10:51:00+03:00,камера на столбе,8
16,5380,2011-02-16T10:51:00+03:00,ничего себе какой он плохой,8
17,5380,2011-02-16T10:51:00+03:00,у меня хрен проскочишь,8
18,5768,2011-02-18T15:24:00+03:00,рожы - ок!,6
19,5768,2011-02-18T15:24:00+03:00,хата - ок!,6
20,5768,2011-02-18T15:24:00+03:00,чотке потсоны,6
21,5916,2011-02-19T14:27:00+03:00,ВНЕЗАПНО!,18
22,5916,2011-02-19T14:27:00+03:00,ничего себе какой он плохой,18
23,6389,2011-02-22T13:27:00+03:00,зарубежные новости,6
24,6389,2011-02-22T13:27:00+03:00,ничего себе какой он плохой,6
25,6389,2011-02-22T13:27:00+03:00,чотке потсоны,6
26,6615,2011-02-22T14:27:00+03:00,рожы - ок!,5
27,6615,2011-02-22T14:27:00+03:00,синька и норкоманы,5
28,6615,2011-02-22T14:27:00+03:00,чотке потсоны,5
29,6897,2011-02-27T13:52:00+03:00,чотке потсоны,2
30,7095,2011-02-28T13:36:00+03:00,кетай как всегда пиз**ц,4
31,7558,2011-03-06T20:45:00+03:00,ВНЕЗАПНО!,7
32,7558,2011-03-06T20:45:00+03:00,слегка подбили,7
33,7767,2011-03-06T21:17:00+03:00,кетай как всегда пиз**ц,13
34,7946,2011-03-08T00:16:00+03:00,КИРПИЧИ,34
35,7946,2011-03-08T00:16:00+03:00,ничего себе какой он плохой,34
36,7946,2011-03-08T00:16:00+03:00,последние секунды жизни,34
37,7946,2011-03-08T00:16:00+03:00,это он зачем так сделал?,34
38,8340,2011-03-08T02:08:00+03:00,ВНЕЗАПНО!,13
39,8340,2011-03-08T02:08:00+03:00,КИРПИЧИ,13
40,8340,2011-03-08T02:08:00+03:00,лобовуха,13
41,8527,2011-03-08T02:28:00+03:00,ВНЕЗАПНО!,18
42,8527,2011-03-08T02:28:00+03:00,камера на столбе,18
43,8909,2011-03-08T15:59:00+03:00,чотке потсоны,9
44,9003,2011-03-08T19:21:00+03:00,кровь/кешки,11
45,9003,2011-03-08T19:21:00+03:00,ничего себе какой он плохой,11
46,9003,2011-03-08T19:21:00+03:00,рвёт шаблон,11
47,9003,2011-03-08T19:21:00+03:00,чотке потсоны,11
48,9003,2011-03-08T19:21:00+03:00,это он зачем так сделал?,11
49,9223,2011-03-09T00:38:00+03:00,слегка подбили,6
50,9642,2011-03-09T14:25:00+03:00,кетай как всегда пиз**ц,9
51,9836,2011-03-09T14:43:00+03:00,кегли,19
52,10084,2011-03-09T16:33:00+03:00,КИРПИЧИ,16
53,10681,2011-03-11T11:25:00+03:00,это он зачем так сделал?,4
54,11036,2011-03-11T22:15:00+03:00,это он зачем так сделал?,2
55,11633,2011-03-14T11:47:00+03:00,красный же блеать!,8
56,11633,2011-03-14T11:47:00+03:00,слегка подбили,8
57,11871,2011-03-14T14:55:00+03:00,жизнь сообщества,50
58,12199,2011-03-15T01:55:00+03:00,чотке потсоны,13
59,12409,2011-03-15T23:19:00+03:00,ВНЕЗАПНО!,11
60,12409,2011-03-15T23:19:00+03:00,ничего себе какой он плохой,11
61,12409,2011-03-15T23:19:00+03:00,последние секунды жизни,11
62,12562,2011-03-15T23:42:00+03:00,ВНЕЗАПНО!,7
63,13012,2011-03-16T11:29:00+03:00,дальнобой,5
64,13012,2011-03-16T11:29:00+03:00,ничего себе какой он плохой,5
65,13310,2011-03-16T14:11:00+03:00,красный же блеать!,9
66,13310,2011-03-16T14:11:00+03:00,слегка подбили,9
67,13380,2011-03-16T21:36:00+03:00,господа полицейские,15
68,13380,2011-03-16T21:36:00+03:00,я оператор блеать,15
69,14281,2011-03-17T15:59:00+03:00,кегли,7
70,14281,2011-03-17T15:59:00+03:00,кетай как всегда пиз**ц,7
71,14281,2011-03-17T15:59:00+03:00,хрусты,7
72,14410,2011-03-19T10:48:00+03:00,ничего себе какой он плохой,22
73,14410,2011-03-19T10:48:00+03:00,у меня хрен проскочишь,22
74,14880,2011-03-20T15:15:00+03:00,хрусты,4
75,15492,2011-03-21T19:25:00+03:00,ВНЕЗАПНО!,17
76,15492,2011-03-21T19:25:00+03:00,КИРПИЧИ,17
77,15492,2011-03-21T19:25:00+03:00,лобовуха,17
78,15492,2011-03-21T19:25:00+03:00,последние секунды жизни,17
79,15665,2011-03-22T00:06:00+03:00,ничего себе какой он плохой,12
80,16091,2011-03-22T00:08:00+03:00,слегка подбили,18
81,16323,2011-03-22T00:28:00+03:00,господа полицейские,1
82,16673,2011-03-22T10:57:00+03:00,кетай как всегда пиз**ц,22
83,16673,2011-03-22T10:57:00+03:00,кровь/кешки,22
84,16673,2011-03-22T10:57:00+03:00,ничего себе какой он плохой,22
85,17000,2011-03-22T17:03:00+03:00,красный же блеать!,34
86,17000,2011-03-22T17:03:00+03:00,ничего себе какой он плохой,34
87,17264,2011-03-22T21:20:00+03:00,вышел за пиз*юлями,17
88,17264,2011-03-22T21:20:00+03:00,драка на дороге,17
89,17264,2011-03-22T21:20:00+03:00,кегли,17
90,17545,2011-03-23T13:04:00+03:00,поднимающее настроение,7
91,17545,2011-03-23T13:04:00+03:00,я оператор блеать,7
92,17910,2011-03-23T15:38:00+03:00,кегли,12
93,18019,2011-03-23T15:57:00+03:00,слегка подбили,16
94,18288,2011-03-23T18:52:00+03:00,слегка подбили,4
95,18651,2011-03-23T18:56:00+03:00,кетай как всегда пиз**ц,2
96,18745,2011-03-23T19:05:00+03:00,увернулся сцукован,7
97,18950,2011-03-24T11:12:00+03:00,орабы опять зажгли,14
98,18950,2011-03-24T11:12:00+03:00,последние секунды жизни,14
99,19324,2011-03-24T11:14:00+03:00,слегка подбили,6
100,19701,2011-03-24T18:58:00+03:00,слегка подбили,8
