date,comments_count,post_count,comments_average
2011-01-30,35,2,17
2011-01-31,9,4,2
2011-02-01,19,4,4
2011-02-02,7,2,3
2011-02-03,5,1,5
2011-02-04,11,2,5
2011-02-07,2,1,2
2011-02-09,7,1,7
2011-02-10,5,1,5
2011-02-16,8,1,8
2011-02-18,6,1,6
2011-02-19,18,1,18
2011-02-22,11,2,5
2011-02-27,2,1,2
2011-02-28,4,1,4
2011-03-02,1,1,1
2011-03-06,20,2,10
2011-03-08,85,5,17
2011-03-09,50,4,12
2011-03-11,11,3,3
2011-03-14,58,2,29
2011-03-15,31,3,10
2011-03-16,29,3,9
2011-03-17,35,3,11
2011-03-19,22,1,22
2011-03-20,7,2,3
2011-03-21,17,1,17
2011-03-22,104,6,17
2011-03-23,48,6,8
2011-03-24,45,4,11
2011-03-25,79,3,26
2011-03-26,28,3,9
2011-03-27,15,1,15
2011-03-28,34,2,17
2011-03-29,77,4,19
2011-03-30,64,3,21
2011-03-31,16,2,8
2011-04-01,61,5,12
2011-04-02,33,4,8
2011-04-03,18,1,18
2011-04-04,4,1,4
2011-04-05,88,4,22
2011-04-06,39,2,19
2011-04-07,40,5,8
2011-04-08,9,1,9
2011-04-09,42,5,8
2011-04-11,24,2,12
2011-04-12,54,4,13
2011-04-13,26,3,8
2011-04-14,57,2,28
2011-04-15,89,7,12
2011-04-16,55,4,13
2011-04-17,27,1,27
2011-04-18,93,5,18
2011-04-19,27,3,9
2011-04-20,35,2,17
2011-04-21,37,3,12
2011-04-22,25,4,6
2011-04-23,12,2,6
2011-04-24,12,1,12
2011-04-25,20,2,10
2011-04-26,111,8,13
2011-04-27,7,1,7
2011-04-28,32,2,16
2011-04-29,43,6,7
2011-05-03,67,4,16
2011-05-04,51,1,51
2011-05-05,53,4,13
2011-05-06,47,4,11
2011-05-10,64,4,16
2011-05-11,101,6,16
2011-05-12,59,4,14
2011-05-13,64,5,12
2011-05-14,22,4,5
2011-05-15,62,5,12
2011-05-16,98,7,14
2011-05-17,113,7,16
2011-05-18,35,5,7
2011-05-19,131,7,18
2011-05-20,38,4,9
2011-05-22,15,1,15
2011-05-23,103,7,14
2011-05-24,104,7,14
2011-05-25,85,4,21
2011-05-26,61,3,20
2011-05-27,49,3,16
2011-05-29,27,4,6
2011-05-30,156,6,26
2011-05-31,160,8,20
2011-06-01,177,8,22
2011-06-02,196,12,16
2011-06-03,140,8,17
2011-06-05,57,4,14
2011-06-06,160,8,20
2011-06-07,76,7,10
2011-06-08,101,11,9
2011-06-09,104,7,14
2011-06-10,32,4,8
2011-06-11,53,6,8
2011-06-13,22,2,11
2011-06-14,123,6,20
2011-06-15,100,5,20
2011-06-16,193,9,21
2011-06-17,90,8,11
2011-06-18,53,6,8
2011-06-19,46,3,15
2011-06-20,105,4,26
2011-06-21,59,3,19
2011-06-22,103,6,17
2011-06-23,42,4,10
2011-06-24,91,9,10
2011-06-25,28,3,9
2011-06-26,107,10,10
2011-06-27,104,8,13
2011-06-28,36,3,12
2011-06-29,69,6,11
2011-06-30,35,4,8
2011-07-01,165,9,18
2011-07-02,10,1,10
2011-07-03,54,3,18
2011-07-04,271,12,22
2011-07-05,121,7,17
2011-07-06,238,9,26
2011-07-07,181,7,25
2011-07-08,155,8,19
2011-07-09,95,6,15
2011-07-10,239,17,14
2011-07-11,217,10,21
2011-07-12,296,12,24
2011-07-13,176,9,19
2011-07-14,398,12,33
2011-07-15,126,6,21
2011-07-16,63,4,15
2011-07-17,285,12,23
2011-07-18,216,11,19
2011-07-19,283,11,25
2011-07-20,200,12,16
2011-07-21,55,8,6
2011-07-22,317,14,22
2011-07-23,49,2,24
2011-07-24,176,6,29
2011-07-25,101,9,11
2011-07-26,117,5,23
2011-07-27,120,8,15
2011-07-28,109,6,18
2011-07-29,420,11,38
2011-07-30,24,3,8
2011-07-31,100,4,25
2011-08-01,242,8,30
2011-08-02,306,14,21
2011-08-03,435,12,36
2011-08-04,194,10,19
2011-08-05,274,12,22
2011-08-06,22,1,22
2011-08-07,65,3,21
2011-08-08,289,14,20
2011-08-09,213,12,17
2011-08-10,400,14,28
2011-08-11,268,11,24
2011-08-12,237,10,23
2011-08-13,205,12,17
2011-08-14,135,5,27
2011-08-15,190,9,21
2011-08-16,142,8,17
2011-08-17,162,8,20
2011-08-18,132,5,26
2011-08-19,137,6,22
2011-08-20,101,5,20
2011-08-21,88,7,12
2011-08-22,16,1,16
2011-08-23,142,8,17
2011-08-24,66,4,16
2011-08-25,116,8,14
2011-08-26,198,6,33
2011-08-27,229,8,28
