№,comm_cnt,link
1,2956,http://ru-chp.livejournal.com/4857748.html
2,2012,http://ru-chp.livejournal.com/4824356.html
3,1478,http://ru-chp.livejournal.com/4148709.html
4,1432,http://ru-chp.livejournal.com/5136313.html
5,1264,http://ru-chp.livejournal.com/6364924.html
6,1172,http://ru-chp.livejournal.com/6764701.html
7,1067,http://ru-chp.livejournal.com/6600087.html
8,954,http://ru-chp.livejournal.com/4937556.html
9,943,http://ru-chp.livejournal.com/5244015.html
10,934,http://ru-chp.livejournal.com/7359488.html
11,893,http://ru-chp.livejournal.com/5884649.html
12,880,http://ru-chp.livejournal.com/6361336.html
13,775,http://ru-chp.livejournal.com/6941316.html
14,720,http://ru-chp.livejournal.com/6646477.html
15,675,http://ru-chp.livejournal.com/6303370.html
16,647,http://ru-chp.livejournal.com/6909004.html
17,629,http://ru-chp.livejournal.com/6864807.html
18,622,http://ru-chp.livejournal.com/6862629.html
19,616,http://ru-chp.livejournal.com/6578357.html
20,615,http://ru-chp.livejournal.com/7001115.html
21,564,http://ru-chp.livejournal.com/5505740.html
22,548,http://ru-chp.livejournal.com/7132018.html
23,545,http://ru-chp.livejournal.com/7398015.html
24,538,http://ru-chp.livejournal.com/6351118.html
25,531,http://ru-chp.livejournal.com/6384327.html
26,525,http://ru-chp.livejournal.com/7337664.html
27,504,http://ru-chp.livejournal.com/7446472.html
28,496,http://ru-chp.livejournal.com/7444643.html
29,472,http://ru-chp.livejournal.com/7028610.html
30,470,http://ru-chp.livejournal.com/7379642.html
31,466,http://ru-chp.livejournal.com/7387747.html
32,451,http://ru-chp.livejournal.com/7415787.html
33,428,http://ru-chp.livejournal.com/7391111.html
34,411,http://ru-chp.livejournal.com/7211864.html
35,403,http://ru-chp.livejournal.com/7324323.html
36,390,http://ru-chp.livejournal.com/7411190.html
37,385,http://ru-chp.livejournal.com/7416236.html
38,354,http://ru-chp.livejournal.com/7210965.html
39,353,http://ru-chp.livejournal.com/7356550.html
40,352,http://ru-chp.livejournal.com/7446979.html
41,347,http://ru-chp.livejournal.com/7396601.html
42,345,http://ru-chp.livejournal.com/7226917.html
43,341,http://ru-chp.livejournal.com/7434034.html
44,332,http://ru-chp.livejournal.com/7432828.html
45,314,http://ru-chp.livejournal.com/7239089.html
46,303,http://ru-chp.livejournal.com/7278542.html
47,300,http://ru-chp.livejournal.com/7314973.html
48,290,http://ru-chp.livejournal.com/7320961.html
49,289,http://ru-chp.livejournal.com/7408542.html
50,285,http://ru-chp.livejournal.com/7439516.html
51,280,http://ru-chp.livejournal.com/7328288.html
52,278,http://ru-chp.livejournal.com/7411912.html
53,269,http://ru-chp.livejournal.com/7455582.html
54,266,http://ru-chp.livejournal.com/7239472.html
55,262,http://ru-chp.livejournal.com/6381452.html
56,261,http://ru-chp.livejournal.com/7319530.html
57,260,http://ru-chp.livejournal.com/7426611.html
58,258,http://ru-chp.livejournal.com/7368239.html
59,254,http://ru-chp.livejournal.com/7237450.html
60,251,http://ru-chp.livejournal.com/7027702.html
61,249,http://ru-chp.livejournal.com/7242418.html
62,248,http://ru-chp.livejournal.com/7381318.html
63,247,http://ru-chp.livejournal.com/7365980.html
64,242,http://ru-chp.livejournal.com/7157414.html
65,240,http://ru-chp.livejournal.com/7291631.html
66,239,http://ru-chp.livejournal.com/7390911.html
67,230,http://ru-chp.livejournal.com/7329177.html
68,229,http://ru-chp.livejournal.com/7347436.html
69,222,http://ru-chp.livejournal.com/7413516.html
70,221,http://ru-chp.livejournal.com/7272842.html
71,220,http://ru-chp.livejournal.com/7419095.html
72,218,http://ru-chp.livejournal.com/7385736.html
73,213,http://ru-chp.livejournal.com/7412242.html
74,212,http://ru-chp.livejournal.com/7309938.html
75,207,http://ru-chp.livejournal.com/7215921.html
76,205,http://ru-chp.livejournal.com/7259833.html
77,203,http://ru-chp.livejournal.com/7208045.html
78,200,http://ru-chp.livejournal.com/7299934.html
79,198,http://ru-chp.livejournal.com/7441950.html
80,196,http://ru-chp.livejournal.com/7395510.html
81,193,http://ru-chp.livejournal.com/7399097.html
82,189,http://ru-chp.livejournal.com/7371372.html
83,186,http://ru-chp.livejournal.com/7445019.html
84,174,http://ru-chp.livejournal.com/7438490.html
85,171,http://ru-chp.livejournal.com/7358599.html
86,170,http://ru-chp.livejournal.com/7433847.html
87,165,http://ru-chp.livejournal.com/7314269.html
88,164,http://ru-chp.livejournal.com/7127030.html
89,163,http://ru-chp.livejournal.com/7352642.html
90,161,http://ru-chp.livejournal.com/7270097.html
91,160,http://ru-chp.livejournal.com/7375755.html
92,158,http://ru-chp.livejournal.com/7392828.html
93,157,http://ru-chp.livejournal.com/7436991.html
94,156,http://ru-chp.livejournal.com/7451048.html
95,151,http://ru-chp.livejournal.com/7409763.html
96,148,http://ru-chp.livejournal.com/7378289.html
97,145,http://ru-chp.livejournal.com/7432383.html
98,144,http://ru-chp.livejournal.com/7425020.html
99,143,http://ru-chp.livejournal.com/7441293.html
